epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1784.77,1.21843,1.10085,1.20742,0.54769,0.88089,0.67279,0.42311,1.21202,0.9884,1.26016,0.0031019,0.0031019,0.0031019
59,1816.03,1.24486,1.11851,1.20287,0.53246,0.89055,0.68576,0.4235,1.22794,0.9706,1.25835,0.0030686,0.0030686,0.0030686
60,1848.7,1.24746,1.11275,1.20839,0.56594,0.88243,0.70732,0.41828,1.34557,0.96974,1.28962,0.0030353,0.0030353,0.0030353
61,1881.06,1.2035,1.08536,1.18731,0.60825,0.83135,0.76503,0.48679,1.21607,0.90929,1.26618,0.003002,0.003002,0.003002
62,1918.35,1.22602,1.1057,1.21053,0.56876,0.82872,0.70493,0.4387,1.25433,0.98722,1.26413,0.0029687,0.0029687,0.0029687
63,1946.86,1.22708,1.10327,1.19166,0.67815,0.83149,0.81405,0.49545,1.36623,0.9336,1.27615,0.0029354,0.0029354,0.0029354
64,1983.74,1.25287,1.12522,1.21305,0.49865,0.91334,0.62549,0.39734,1.21064,1.02753,1.24987,0.0029021,0.0029021,0.0029021
65,2014.85,1.24862,1.10644,1.20775,0.59464,0.84826,0.73872,0.45267,1.27459,0.96361,1.27232,0.0028688,0.0028688,0.0028688
66,2040.92,1.22633,1.07531,1.19997,0.56071,0.8554,0.72692,0.45215,1.31944,0.95319,1.3086,0.0028355,0.0028355,0.0028355
67,2071.3,1.22244,1.07708,1.20452,0.52313,0.87358,0.66078,0.4079,1.27414,1.00874,1.27208,0.0028022,0.0028022,0.0028022
68,2097.81,1.21792,1.04107,1.18433,0.55256,0.87015,0.69842,0.41964,1.30162,0.94988,1.26377,0.0027689,0.0027689,0.0027689
69,2124.44,1.21435,1.02893,1.19218,0.63181,0.82164,0.75092,0.45959,1.27878,0.93317,1.25386,0.0027356,0.0027356,0.0027356
70,2150.76,1.21566,1.05191,1.17911,0.45816,0.91275,0.53092,0.34901,1.1534,1.12889,1.25058,0.0027023,0.0027023,0.0027023
71,2182.2,1.21764,1.07297,1.17101,0.56379,0.87617,0.75553,0.45336,1.34058,0.94944,1.28585,0.002669,0.002669,0.002669
72,2210.76,1.22059,1.07297,1.21815,0.59368,0.83675,0.71482,0.44072,1.2603,0.93524,1.26191,0.0026357,0.0026357,0.0026357
73,2241.72,1.2327,1.05214,1.2023,0.57369,0.84101,0.68589,0.43296,1.206,0.92682,1.25517,0.0026024,0.0026024,0.0026024
74,2272.63,1.24188,1.03751,1.20436,0.58156,0.84415,0.72409,0.45074,1.25888,0.95951,1.2691,0.0025691,0.0025691,0.0025691
75,2300.84,1.22905,1.02054,1.19686,0.66914,0.82853,0.7848,0.49223,1.25475,0.86342,1.27289,0.0025358,0.0025358,0.0025358
76,2331.83,1.22463,0.98785,1.18615,0.69993,0.8465,0.82503,0.51142,1.30279,0.838,1.28136,0.0025025,0.0025025,0.0025025
77,2366.79,1.21695,0.98367,1.19096,0.6186,0.78992,0.71931,0.43812,1.29652,0.95378,1.25925,0.0024692,0.0024692,0.0024692
78,2397.22,1.2225,0.99696,1.18737,0.53516,0.82009,0.65706,0.41325,1.27921,1.01866,1.25508,0.0024359,0.0024359,0.0024359
79,2428.12,1.1875,0.94507,1.17267,0.52393,0.81779,0.63124,0.37668,1.2978,1.06858,1.26403,0.0024026,0.0024026,0.0024026
80,2456.57,1.19499,0.96905,1.17236,0.75464,0.82619,0.8561,0.5251,1.36371,0.83126,1.28249,0.0023693,0.0023693,0.0023693
81,2493.38,1.20746,0.93748,1.19068,0.57477,0.81685,0.68335,0.43131,1.21916,0.93382,1.24692,0.002336,0.002336,0.002336
82,2524.51,1.19143,0.91194,1.16729,0.73325,0.79817,0.83201,0.52169,1.22531,0.81544,1.24938,0.0023027,0.0023027,0.0023027
83,2555.56,1.2215,0.93954,1.19187,0.86165,0.85702,0.91243,0.55969,1.30992,0.72465,1.2726,0.0022694,0.0022694,0.0022694
84,2591.83,1.18918,0.92075,1.17959,0.82321,0.85858,0.89143,0.55241,1.29523,0.73315,1.26069,0.0022361,0.0022361,0.0022361
85,2622.69,1.2126,0.91956,1.1832,0.78215,0.8297,0.86565,0.53148,1.26741,0.7942,1.26323,0.0022028,0.0022028,0.0022028
86,2653.34,1.20656,0.91431,1.18276,0.58116,0.79896,0.70459,0.45225,1.24946,0.9258,1.26364,0.0021695,0.0021695,0.0021695
87,2683.96,1.16925,0.89126,1.16428,0.715,0.84168,0.86674,0.53028,1.32748,0.7988,1.2707,0.0021362,0.0021362,0.0021362
88,2714.5,1.18485,0.84244,1.18017,0.65756,0.83289,0.79759,0.51342,1.21103,0.82085,1.23883,0.0021029,0.0021029,0.0021029
89,2743.35,1.19651,0.85525,1.18245,0.70102,0.79363,0.80477,0.49146,1.32967,0.84807,1.25856,0.0020696,0.0020696,0.0020696
90,2774.33,1.20981,0.89896,1.18258,0.82146,0.8283,0.89935,0.57786,1.25072,0.70767,1.26054,0.0020363,0.0020363,0.0020363
91,2806.7,1.1864,0.87085,1.16938,0.63755,0.76061,0.73605,0.4624,1.26681,0.91533,1.27744,0.002003,0.002003,0.002003
92,2833.2,1.18409,0.88473,1.17537,0.81773,0.8561,0.90841,0.56812,1.3304,0.72317,1.27988,0.0019697,0.0019697,0.0019697
